2018,1.0
2019,0.9036877210298221
2020,0.9079956213300177
2021,0.9021144344547554
2022,0.905762366363931
2023,0.9103876001404227
2024,0.9080544893294097
2025,0.9103352471501284
2026,0.9027794636655003
2027,0.9018320344852611
2028,0.9026463467857416
2029,0.9120024867716103
2030,0.9095224568860149
2031,0.909830800175042
2032,0.9162769532053
2033,0.9248861845625783
2034,0.9240717125255986
2035,0.9261464022558643
2036,0.9082865113101941
2037,0.9228769759657598
2038,0.9117170218786604
2039,0.9174968627361232
2040,0.9204092449350517
2041,0.895457456522891
2042,0.91078578505675
2043,0.918762263641666
2044,0.9185396514033203
2045,0.9295867880798468
2046,0.9274175462488227
2047,0.9378907958547296
2048,0.9390164089405085
2049,0.9383335650164591
2050,0.9495122902502403
2051,0.9401223051799112
2052,0.9354759943324741
2053,0.9286940630538081
2054,0.9378735410204152
2055,0.9467098492209337
2056,0.9538998775765712
2057,0.9647034183195985
2058,0.9532071624772104
2059,0.9540240549759559
2060,0.9437404807597557
2061,0.9485917569432424
2062,0.941171096874482
2063,0.9259095135648234
2064,0.9332445145973626
2065,0.9444249724854705
2066,0.9480489554744826
2067,0.9470700482643931
2068,0.9475653309407264
2069,0.9454863427718238
2070,0.9431562999776584
2071,0.9495890383495498
2072,0.939457255129188
2073,0.9533508945853453
2074,0.94305901008606
2075,0.9342201366244512
2076,0.9300338613819877
2077,0.9274790325365369
2078,0.9268648574368946
2079,0.9061806768886917
2080,0.8949590710861018
2081,0.9022194158852194
2082,0.9012970900722145
2083,0.9078437065998647
2084,0.9121440313440052
2085,0.9142005500574547
2086,0.9104650191942948
2087,0.9001677735040482
2088,0.9122937016611269
2089,0.9048224607408842
2090,0.9136492879796984
2091,0.9103077349271844
2092,0.9190645881090473
2093,0.9335677924711515
2094,0.9327586397139783
2095,0.9249180856902721
2096,0.9481247179959578
2097,0.9607986696911984
2098,0.9643945776090285
2099,0.9544983806872973
